Group,N,Missing (%),QWK,MAE,Mean Signed Error
Overall,2730,62.967032967032964,0.5081477917903625,1.0060301507537688,0.39095477386934674
Voice,1660,65.66265060240964,0.48759325666707887,1.0398936170212767,0.4299645390070922
Cough,480,67.08333333333333,0.527110965334864,0.9873417721518988,0.6962025316455697
Swallowing,590,52.03389830508475,0.5388760232040906,0.9468864468864469,0.1336996336996337
